,TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
1091,Downey Creek,North Cascades,13.2,roundtrip,1280.0,2400.0,2.75,8,48.2595333333,-121.222933333,2021-03-03,82,https://www.wta.org/go-hiking/hikes/downey-creek
1092,Deadhorse Creek,Mount Rainier Area,3.25,roundtrip,800.0,5820.0,4.33,6,46.7851769754,-121.741551161,2020-12-05,51,https://www.wta.org/go-hiking/hikes/dead-horse-creek
1093,Dirty Harry's Peak,Snoqualmie Region,9.2,roundtrip,3326.0,4662.0,3.26,19,47.4342752,-121.6326678,2021-04-24,331,https://www.wta.org/go-hiking/hikes/dirty-harrys-peak
1094,Ira Spring Connector Trail,Snoqualmie Region,,,,,3.5,2,47.429945333,-121.591186523,2021-04-20,36,https://www.wta.org/go-hiking/hikes/dirty-harrys-connector
1095,Dirty Harry's Museum,Snoqualmie Region,5.6,roundtrip,2800.0,3100.0,4.0,4,47.4342752,-121.6326678,2021-04-20,88,https://www.wta.org/go-hiking/hikes/dirty-harrys-museum
1096,Cramer Mountain Loop,South Cascades,14.0,roundtrip,1800.0,6000.0,3.0,5,46.6447333333,-121.382266667,2020-06-28,10,https://www.wta.org/go-hiking/hikes/cramer-mountain-loop
1097,Cramer Lake,South Cascades,3.4,one-way,950.0,5067.0,3.0,7,46.6546429115,-121.360108852,2020-08-29,49,https://www.wta.org/go-hiking/hikes/cramer-lake
1098,Copper Mountain,Mount Rainier Area,,,3868.0,6280.0,0.0,0,46.7973304,-121.8275986,2020-07-16,4,https://www.wta.org/go-hiking/hikes/copper-mountain-2
1099,Cultus Mountain,Puget Sound and Islands,,,,,4.0,2,48.4248719793,-122.142047882,2021-04-23,5,https://www.wta.org/go-hiking/hikes/cultus-mountain-mt-vernon-area
1100,Damon Point,Southwest Washington,4.0,roundtrip,,10.0,3.27,11,46.946416,-124.133289,2021-03-11,66,https://www.wta.org/go-hiking/hikes/damon-point-state-park
1101,Dark Meadows,South Cascades,,,,,3.4,5,46.6449833333,-121.381133333,2020-09-06,15,https://www.wta.org/go-hiking/hikes/dark-meadows
1102,Comet Falls,Mount Rainier Area,3.8,roundtrip,1250.0,4875.0,4.21,39,46.7790333333,-121.7823,2021-04-18,311,https://www.wta.org/go-hiking/hikes/comet-falls
1103,Griffiths-Priday State Park - Copalis River Spit,Southwest Washington,4.0,roundtrip,40.0,25.0,4.0,6,47.114137,-124.177076,2021-03-12,38,https://www.wta.org/go-hiking/hikes/copalis-river-spit
1104,Carter Falls,Mount Rainier Area,2.8,roundtrip,660.0,3650.0,3.83,18,46.7662058742,-121.79271698,2021-04-08,130,https://www.wta.org/go-hiking/hikes/carter-falls
1105,Camp Muir,Mount Rainier Area,8.0,roundtrip,4640.0,10080.0,4.58,43,46.7860333333,-121.734983333,2021-03-13,519,https://www.wta.org/go-hiking/hikes/camp-muir
1106,Capitol State Forest - Capitol Peak,Olympic Peninsula,9.0,roundtrip,1300.0,2659.0,3.38,8,46.9731077994,-123.138027191,2021-03-08,35,https://www.wta.org/go-hiking/hikes/capitol-peak
1107,Boulder Lake,Central Cascades,13.8,roundtrip,2140.0,3700.0,2.5,4,47.9703119,-121.5560001,2020-07-18,45,https://www.wta.org/go-hiking/hikes/boulder-lake
1108,Bus Trail,Issaquah Alps,0.7,roundtrip,200.0,500.0,3.25,4,47.5297428,-121.9961387,2021-03-20,136,https://www.wta.org/go-hiking/hikes/bus-trail
1109,Bootleg Trail,Issaquah Alps,4.6,roundtrip,1300.0,2200.0,3.2,5,47.5303687,-121.9436016,2021-04-18,74,https://www.wta.org/go-hiking/hikes/bootleg
1110,Bonneville Trail,Issaquah Alps,1.2,roundtrip,,,3.0,4,47.5295046412,-122.008692473,2021-03-20,21,https://www.wta.org/go-hiking/hikes/bonneville-trail
1111,Brink Trail,Issaquah Alps,1.2,roundtrip,,,3.75,4,47.5295808,-121.9957352,2021-01-22,20,https://www.wta.org/go-hiking/hikes/brink-trail
1112,Blake Island State Park,Puget Sound and Islands,8.0,roundtrip,190.0,190.0,0.0,0,47.5423177424,-122.482904434,2020-07-05,13,https://www.wta.org/go-hiking/hikes/blake-island-state-park
1113,Big Tree Trail,Issaquah Alps,1.0,roundtrip,110.0,530.0,3.4,5,47.5296075317,-121.996128168,2021-03-06,49,https://www.wta.org/go-hiking/hikes/big-tree-trail
1114,Ashland Lakes,North Cascades,5.4,roundtrip,800.0,3000.0,3.64,25,48.0476666667,-121.714183333,2021-04-11,268,https://www.wta.org/go-hiking/hikes/ashland-lakes
1115,Bells Mountain,Southwest Washington,15.4,roundtrip,1100.0,1500.0,3.25,4,45.8285600225,-122.387695312,2020-12-13,36,https://www.wta.org/go-hiking/hikes/bells-mt
1116,Goat Lake,North Cascades,10.4,roundtrip,1400.0,3161.0,4.21,117,48.0536666667,-121.411333333,2020-12-12,871,https://www.wta.org/go-hiking/hikes/goat-lake
1117,Lake Valhalla,Central Cascades,7.0,roundtrip,1500.0,5050.0,4.35,49,47.7479166667,-121.0883,2021-04-03,697,https://www.wta.org/go-hiking/hikes/lake-valhalla
1118,Little Huckleberry Mountain,Southwest Washington,5.0,roundtrip,1800.0,4781.0,3.7,10,45.9042463,-121.7063385,2020-11-08,26,https://www.wta.org/go-hiking/hikes/little-huckleberry
1119,Manastash Lake,Central Washington,8.0,roundtrip,2100.0,5063.0,3.89,9,47.0248288,-120.9406422,2020-11-08,74,https://www.wta.org/go-hiking/hikes/manastash-lake
1120,Milk Creek - Suiattle River Loop,North Cascades,34.7,roundtrip,2100.0,3900.0,0.0,0,48.2457,-121.191,2018-09-26,12,https://www.wta.org/go-hiking/hikes/milk-creek-suiattle-river-loop
1121,Source Lake,Snoqualmie Region,6.0,roundtrip,700.0,3800.0,3.83,12,47.4454166667,-121.423016667,2021-01-22,180,https://www.wta.org/go-hiking/hikes/source-lake
1122,Hazel Wolf Wetlands,Issaquah Alps,1.7,roundtrip,60.0,525.0,3.78,9,47.599102547,-122.008323669,2021-01-30,26,https://www.wta.org/go-hiking/hikes/hazel-wolf-wetlands
1123,Gem Lake,Snoqualmie Region,10.0,roundtrip,1800.0,4857.0,4.36,33,47.4452995,-121.4234579,2020-11-08,481,https://www.wta.org/go-hiking/hikes/gem-lake
1124,The Enchantments,Central Cascades,18.0,one-way,4500.0,7800.0,4.69,117,47.5278918714,-120.820697173,2020-11-08,826,https://www.wta.org/go-hiking/hikes/enchantment-lakes
1125,Squires Lake Park,Puget Sound and Islands,2.0,roundtrip,200.0,680.0,3.62,8,48.6458683241,-122.354178429,2021-02-24,77,https://www.wta.org/go-hiking/hikes/squires-lake
1126,Upper Twin Lake,Central Cascades,5.0,roundtrip,300.0,,4.5,2,47.8960191377,-120.822315216,2020-10-03,7,https://www.wta.org/go-hiking/hikes/upper-twin-lake
1127,Grove of the Patriarchs Loop,Mount Rainier Area,1.5,roundtrip,50.0,2200.0,3.71,24,46.7579666667,-121.557566667,2021-03-14,180,https://www.wta.org/go-hiking/hikes/grove-of-the-patriarchs
1128,Hoh River Trail to Five Mile Island,Olympic Peninsula,10.6,roundtrip,300.0,800.0,3.58,26,47.8596666667,-123.933716667,2021-04-17,203,https://www.wta.org/go-hiking/hikes/hoh-river-trail-to-five-mile-island
1129,Three O'Clock Ridge,Olympic Peninsula,0.5,one-way,,,3.75,4,47.9722102045,-123.127610497,2020-09-22,1,https://www.wta.org/go-hiking/hikes/three-oclock-ridge
1130,Interlaken Park,Puget Sound and Islands,1.6,roundtrip,200.0,325.0,3.0,3,47.6356743924,-122.303807289,2020-08-30,7,https://www.wta.org/go-hiking/hikes/interlaken-park
1131,Marmot Lake,Snoqualmie Region,16.0,roundtrip,,4500.0,3.78,9,47.54485833341884,-121.09778881072998,2020-10-25,110,https://www.wta.org/go-hiking/hikes/marmot-lake
1132,Lake Easton State Park,Snoqualmie Region,5.0,roundtrip,,,0.0,0,47.25422796758968,-121.19705200195312,2021-01-30,5,https://www.wta.org/go-hiking/hikes/lake-easton-state-park
1133,Thomas Mountain,Snoqualmie Region,8.0,roundtrip,3400.0,,4.0,1,47.2675553748,-121.174245178,2020-09-20,29,https://www.wta.org/go-hiking/hikes/thomas-mountain
1134,Red Top Lookout,Central Cascades,1.5,roundtrip,350.0,5360.0,3.65,23,47.297036355,-120.75955471,2021-04-17,176,https://www.wta.org/go-hiking/hikes/red-top-lookout
1135,Etienne Creek,Central Cascades,4.0,roundtrip,1400.0,6100.0,2.8,5,47.3899,-120.6673,2020-10-12,12,https://www.wta.org/go-hiking/hikes/etienne-creek
1136,Grass Camp,Central Cascades,6.2,roundtrip,,,4.0,4,47.3135,-120.535,2020-06-19,2,https://www.wta.org/go-hiking/hikes/grass-camp
1137,Tronsen Meadow,Central Cascades,3.4,roundtrip,1168.0,5536.0,2.83,6,47.329009489,-120.553193092,2021-03-27,27,https://www.wta.org/go-hiking/hikes/tronson-meadow
1138,Hardscrabble Creek,Central Cascades,3.7,one-way,2000.0,5900.0,3.4,5,47.449,-120.834,2020-09-20,24,https://www.wta.org/go-hiking/hikes/hardscrabble-creek
1139,Cascade Creek,Central Cascades,2.4,one-way,2400.0,6000.0,2.5,4,47.4469674054,-120.81036866,2020-10-07,8,https://www.wta.org/go-hiking/hikes/cascade-creek
1140,Milk Creek,North Cascades,6.0,roundtrip,2100.0,3900.0,3.5,4,48.2457110729,-121.191043854,2019-08-23,38,https://www.wta.org/go-hiking/hikes/milk-creek
1141,Hidden Lake Lookout,North Cascades,8.0,roundtrip,3300.0,6900.0,4.59,59,48.5141488855079,-121.22190535068512,2021-04-03,552,https://www.wta.org/go-hiking/hikes/hidden-lake-lookout
1142,Grace Cole Nature Park,Puget Sound and Islands,0.5,roundtrip,120.0,360.0,3.0,1,47.74922166505508,-122.29643315076828,2020-11-01,4,https://www.wta.org/go-hiking/hikes/grace-cole-nature-park-1
1143,Lost Creek Ridge,North Cascades,14.0,one-way,5000.0,5700.0,4.57,7,48.0936260396,-121.336497366,2020-12-29,17,https://www.wta.org/go-hiking/hikes/lost-creek-ridge
1144,Kelcema Lake,North Cascades,1.2,roundtrip,29.0,3040.0,4.12,8,48.1153969727,-121.592388153,2021-04-16,115,https://www.wta.org/go-hiking/hikes/kelcema-lake
1145,Thorp Mountain Lookout via Thorp Creek,Snoqualmie Region,7.4,roundtrip,2484.0,5884.0,4.11,9,47.3732595325,-121.15821864,2020-11-08,101,https://www.wta.org/go-hiking/hikes/thorp-mountain-lookout-via-thorp-creek
1149,Taneum Ridge - Fishhook Flats,Snoqualmie Region,14.0,roundtrip,1400.0,4200.0,3.5,4,47.11545,-120.953317,2019-06-06,10,https://www.wta.org/go-hiking/hikes/taneum-ridge
1150,Summer Blossom,North Cascades,,,,,3.0,4,48.119652,-120.30319,2020-08-28,12,https://www.wta.org/go-hiking/hikes/summer-blossom
1152,Quartz Ridge-Summit Prairie,South Cascades,6.0,roundtrip,1800.0,5245.0,3.4,5,46.1978,-121.781283333,2018-09-29,4,https://www.wta.org/go-hiking/hikes/summit-prairie
1153,Sunnybrook Meadows,Olympic Peninsula,12.0,roundtrip,4000.0,5650.0,3.0,5,47.7365,-123.168833333,2020-06-29,7,https://www.wta.org/go-hiking/hikes/sunnybrook-meadows
1155,Spencer Butte,Southwest Washington,4.8,roundtrip,2240.0,4325.0,3.75,4,46.172533,-121.930533,2011-07-26,1,https://www.wta.org/go-hiking/hikes/spencer-butte
1157,Spanish Creek,North Cascades,,,,,2.33,3,48.8848396,-119.8666783,2010-06-27,1,https://www.wta.org/go-hiking/hikes/spanish-creek
1170,Smith Creek,South Cascades,6.0,roundtrip,200.0,1800.0,3.25,4,46.1826,-122.054566667,2020-07-19,11,https://www.wta.org/go-hiking/hikes/smith-creek
1174,Boulder Creek - Gallagher Head Lake,Snoqualmie Region,9.0,roundtrip,2100.0,5606.0,3.2,5,47.4558420609,-121.048457623,2019-07-17,6,https://www.wta.org/go-hiking/hikes/south-fork-boulder-creek
1176,Middle Tiger,Issaquah Alps,9.0,roundtrip,1127.0,2607.0,3.67,6,47.4669166667,-121.933283333,2021-04-21,77,https://www.wta.org/go-hiking/hikes/middle-tiger
1177,Iverson Railroad Trail,Issaquah Alps,3.0,roundtrip,850.0,1750.0,2.83,12,47.4675898009,-121.931127012,2021-02-20,72,https://www.wta.org/go-hiking/hikes/iverson-railroad-trail
1178,Hauser Lake Conservation Area,Eastern Washington,5.7,roundtrip,600.0,2640.0,0.0,0,47.7967894865,-117.052577734,2021-03-27,2,https://www.wta.org/go-hiking/hikes/hauser-lake-conservation-area
1179,Whistler Cutoff,North Cascades,6.3,roundtrip,1320.0,6480.0,0.0,0,48.74118,-120.66831,2020-09-22,1,https://www.wta.org/go-hiking/hikes/whistler-cutoff
1180,Mount Teneriffe,Snoqualmie Region,13.0,roundtrip,3800.0,4585.0,3.73,26,47.486866,-121.709682,2021-04-23,700,https://www.wta.org/go-hiking/hikes/mount-teneriffe
1181,Slate Peak,North Cascades,0.7,roundtrip,250.0,7440.0,4.75,4,48.738015,-120.678671,2020-09-28,47,https://www.wta.org/go-hiking/hikes/harts-pass-and-slate-peak
1182,Miller Peninsula-Thompson Spit,Olympic Peninsula,5.0,roundtrip,360.0,360.0,3.0,16,48.0769098545,-122.937876396,2021-02-20,63,https://www.wta.org/go-hiking/hikes/miller-peninsula-thompson-spit
1183,Cap Sante Park,Puget Sound and Islands,3.2,roundtrip,490.0,220.0,4.0,2,48.5190206076,-122.606316805,2021-04-19,8,https://www.wta.org/go-hiking/hikes/cap-sante-park
1184,Silver Peak,Snoqualmie Region,5.6,roundtrip,2100.0,5605.0,4.51,43,47.366011,-121.4199016,2020-11-26,388,https://www.wta.org/go-hiking/hikes/silver-peak
1185,Iron Peak,Snoqualmie Region,7.6,roundtrip,2360.0,6160.0,4.2,10,47.421427,-120.937243,2020-11-01,239,https://www.wta.org/go-hiking/hikes/iron-peak
1186,Miller River Road Snowshoe,Central Cascades,7.4,roundtrip,700.0,2200.0,4.0,1,47.7146036557,-121.399161816,2021-02-20,16,https://www.wta.org/go-hiking/hikes/miller-river-road-backcountry-ski
1187,Toutle Trail - Blue Lake to Loowit Trail,South Cascades,4.5,roundtrip,1100.0,4000.0,3.25,4,46.1662492204,-122.262382507,2021-01-10,28,https://www.wta.org/go-hiking/hikes/blue-lake-south-fork-toutle
1188,Toutle Trail - Red Rock Pass to Blue Lake Trailhead,South Cascades,3.3,one-way,280.0,3400.0,0.0,0,46.1436188445,-122.234922051,,0,https://www.wta.org/go-hiking/hikes/toutle-trail-red-rock-pass-to-blue-lake-trailhead
1189,Toutle Trail,South Cascades,13.6,one-way,1900.0,4000.0,3.0,6,46.1429349576,-122.324438095,2020-10-31,4,https://www.wta.org/go-hiking/hikes/toutle
1190,Lake Dorothy - Lake Bear - Lake Deer,Central Cascades,11.5,roundtrip,1600.0,3800.0,3.82,38,47.6089166667,-121.3861,2020-11-29,566,https://www.wta.org/go-hiking/hikes/dorothy-lake
1191,Gombu Wilderness Cliffs,Issaquah Alps,2.6,roundtrip,,,2.75,4,47.5142524307,-122.091034278,2021-03-23,2,https://www.wta.org/go-hiking/hikes/wilderness-cliffs
1192,Deering Wildflower Acres,Puget Sound and Islands,2.0,trails,,,4.0,6,48.038528,-122.125429,2021-01-23,9,https://www.wta.org/go-hiking/hikes/deering-wildflower-acres
1193,West Elwha,Olympic Peninsula,6.0,roundtrip,500.0,650.0,4.12,8,48.0317753608,-123.595899045,2021-03-16,42,https://www.wta.org/go-hiking/hikes/west-elwha
1195,Capitol State Forest Fuzzy Top,Olympic Peninsula,1.2,roundtrip,240.0,1760.0,0.0,0,46.937452,-123.162958,2020-06-11,1,https://www.wta.org/go-hiking/hikes/capitol-state-forest-fuzzy-top
1196,Shelton View Forest,Puget Sound and Islands,5.0,trails,,,3.0,1,47.7839806686,-122.241761684,2021-01-03,10,https://www.wta.org/go-hiking/hikes/shelton-view-forest
1197,Waterline Trail,Issaquah Alps,1.4,one-way,,400.0,0.0,0,47.5227000641,-122.165737152,2021-03-25,2,https://www.wta.org/go-hiking/hikes/waterline-trail
1198,Ebey Waterfront Trail,Puget Sound and Islands,3.2,roundtrip,,15.0,3.6,5,48.0486053854,-122.177095888,2021-04-24,43,https://www.wta.org/go-hiking/hikes/ebey-waterfront-trail
1199,Jetty Island,Puget Sound and Islands,4.0,roundtrip,,5.0,4.0,1,48.0038593261,-122.228333473,2017-09-03,8,https://www.wta.org/go-hiking/hikes/jetty-island
1200,Vancouver Lake - North Trail,Southwest Washington,2.5,roundtrip,,10.0,3.0,1,45.6789627127,-122.742892206,2021-04-15,15,https://www.wta.org/go-hiking/hikes/vancouver-lake
1201,Raging River Natural Area,Issaquah Alps,0.5,one-way,,280.0,0.0,0,47.5399298518,-121.908001006,2020-10-17,3,https://www.wta.org/go-hiking/hikes/raging-river-natural-area
1202,Schriebers Meadow Snowshoe,North Cascades,11.0,roundtrip,1200.0,5200.0,4.0,2,48.681922538,-121.759725809,2020-06-29,9,https://www.wta.org/go-hiking/hikes/schriebers-meadow-snowshoe
1203,Dungeness Recreation Area,Olympic Peninsula,3.0,trails,,,3.5,2,48.1413485013,-123.190475106,2021-03-15,9,https://www.wta.org/go-hiking/hikes/dungeness-recreation-area
1204,Hurricane Hill,Olympic Peninsula,3.2,roundtrip,650.0,5757.0,4.26,23,47.9765666667,-123.517816667,2021-01-23,225,https://www.wta.org/go-hiking/hikes/hurricane-hill
1205,Little Mashel Falls - Pack Forest,Puget Sound and Islands,5.0,roundtrip,500.0,1100.0,4.03,29,46.843623380653455,-122.31222867965698,2021-04-18,253,https://www.wta.org/go-hiking/hikes/little-mashel-falls
1206,Monkey Bear Falls,Central Cascades,5.0,roundtrip,200.0,,2.6,5,48.2001171862,-120.774561837,2019-10-10,4,https://www.wta.org/go-hiking/hikes/monkey-bear-falls
1207,Mission Ridge,Central Cascades,14.0,roundtrip,3200.0,4963.0,2.8,5,47.4057966,-120.5075509,2020-10-26,22,https://www.wta.org/go-hiking/hikes/mission-ridge
1208,Monogram Lake,North Cascades,9.8,roundtrip,4675.0,5719.0,3.44,9,48.5369833333,-121.293983333,2020-11-28,70,https://www.wta.org/go-hiking/hikes/monogram-lake
1209,Moraine Park - Mystic Lake,Mount Rainier Area,25.4,roundtrip,4400.0,6100.0,3.0,4,46.9949416051,-121.915427467,2020-07-18,24,https://www.wta.org/go-hiking/hikes/moraine-park
1210,Mount Baker,North Cascades,,,,10778.0,3.4,5,48.8072026282,-121.897301674,2020-08-07,47,https://www.wta.org/go-hiking/hikes/mount-baker
1211,Clara and Marion Lakes,Central Washington,3.2,roundtrip,900.0,5475.0,3.93,15,47.2942,-120.398716667,2020-11-26,103,https://www.wta.org/go-hiking/hikes/marion-and-clara-lakes
1212,Hope and Mig Lakes,Central Cascades,5.0,roundtrip,1550.0,4650.0,2.86,7,47.7128,-121.107316667,2021-01-07,125,https://www.wta.org/go-hiking/hikes/mig-lake
1213,Meadow Mountain,North Cascades,35.0,roundtrip,3850.0,5850.0,2.0,4,48.1893842503,-121.370904758,2021-02-11,48,https://www.wta.org/go-hiking/hikes/meadow-mountain
1214,Martin Creek,North Cascades,18.0,roundtrip,2100.0,7260.0,3.25,4,48.1751,-120.2613,2020-07-03,10,https://www.wta.org/go-hiking/hikes/martin-creek
1215,Martin Lakes,North Cascades,14.6,roundtrip,2440.0,6840.0,3.0,5,48.2204,-120.2679,2020-09-20,19,https://www.wta.org/go-hiking/hikes/martin-lakes
1217,McNary National Wildlife Refuge,Central Washington,2.0,roundtrip,,350.0,2.0,4,46.201084,-118.993062,,0,https://www.wta.org/go-hiking/hikes/mcnary-national-wildlife-refuge
1218,Pear Lake via Meadow Creek,Central Cascades,16.5,roundtrip,3375.0,5225.0,3.83,6,47.8273833333,-121.207616667,2020-09-19,53,https://www.wta.org/go-hiking/hikes/meadow-creek-1
1219,Meander Meadows,Central Cascades,12.5,roundtrip,1980.0,4992.0,3.29,7,47.91825,-121.087383333,2019-09-25,59,https://www.wta.org/go-hiking/hikes/meander-meadows-spur
1220,Lyons Ferry State Park - Marmes Pond,Central Washington,4.0,roundtrip,150.0,750.0,2.8,5,46.5961285488,-118.217868805,2021-03-17,10,https://www.wta.org/go-hiking/hikes/marmes-pond-lyons-ferry-park
1221,Merritt Lake and Lost Lake,Central Cascades,5.5,roundtrip,2100.0,5023.0,3.33,15,47.7912333333,-120.884816667,2020-12-05,198,https://www.wta.org/go-hiking/hikes/merritt-lake
1222,Louis Lake,North Cascades,9.8,roundtrip,2240.0,5360.0,3.4,10,48.4392,-120.531,2020-10-14,30,https://www.wta.org/go-hiking/hikes/louis-lake
1223,Magnet Creek,Snoqualmie Region,6.0,roundtrip,2300.0,4400.0,2.8,5,47.4104084891,-120.657767057,2021-04-21,18,https://www.wta.org/go-hiking/hikes/magnet-creek
1224,Living Legacy Interpretive Trail,Olympic Peninsula,1.5,roundtrip,125.0,,2.75,4,47.5953694,-123.1229393,2019-11-17,9,https://www.wta.org/go-hiking/hikes/living-legacy-interpretive-trail
1225,Lyman Lakes,Central Cascades,21.0,roundtrip,2774.0,5983.0,3.44,9,48.1984125141,-120.774593353,2020-10-02,37,https://www.wta.org/go-hiking/hikes/lyman-lakes
1226,Log Flume,Eastern Washington,0.4,roundtrip,,,3.2,5,48.5816664,-118.2337174,2019-09-10,3,https://www.wta.org/go-hiking/hikes/log-flume
1227,Mad Lake,Central Cascades,12.2,one-way,1800.0,,3.67,3,47.8410068046,-120.604503751,2020-07-13,7,https://www.wta.org/go-hiking/hikes/mad-lake
1228,Lake Julius and Loch Eileen,Central Cascades,15.9,roundtrip,3815.0,5735.0,2.5,6,47.7282833333,-120.843666667,2020-10-06,33,https://www.wta.org/go-hiking/hikes/loch-eileen
1229,Lower Mad River Valley,Central Cascades,14.9,one-way,2500.0,2000.0,3.5,6,47.7588833333,-120.427133333,2020-05-28,49,https://www.wta.org/go-hiking/hikes/lower-mad-river
1230,Little Wenatchee River,Central Cascades,3.0,roundtrip,250.0,2500.0,3.12,8,47.918,-121.0877,2020-11-02,86,https://www.wta.org/go-hiking/hikes/little-wenatchee-river
1231,Lost River,North Cascades,7.2,roundtrip,350.0,2680.0,2.8,5,48.65625,-120.512733333,2020-11-04,23,https://www.wta.org/go-hiking/hikes/lost-river
1232,Lakeview Ranch,Central Washington,5.3,roundtrip,450.0,1780.0,3.75,4,47.413833,-118.741233,2020-03-08,5,https://www.wta.org/go-hiking/hikes/lakeview-ranch
1233,Libby Lake,North Cascades,10.2,roundtrip,3210.0,7640.0,3.38,8,48.2759333333,-120.290033333,2020-09-11,33,https://www.wta.org/go-hiking/hikes/libby-lake
1234,Little Giant Pass,Central Cascades,10.0,roundtrip,4000.0,6409.0,4.09,11,48.0258333333,-120.8286,2020-10-07,111,https://www.wta.org/go-hiking/hikes/little-giant
1235,Lake Wenatchee State Park,Central Cascades,4.0,trails,75.0,1800.0,3.17,6,47.8075982993,-120.726184845,2021-04-04,42,https://www.wta.org/go-hiking/hikes/lake-wenatchee-state-park-shore-trail
1236,Sleepy Hollow Trail,Olympic Peninsula,16.6,roundtrip,2000.0,2950.0,5.0,2,47.9228,-123.026066667,2021-04-15,14,https://www.wta.org/go-hiking/hikes/sleepy-hollow-trail
1237,Bayshore Preserve,Olympic Peninsula,,,,,2.0,1,47.248556,-123.044222,2020-06-11,2,https://www.wta.org/go-hiking/hikes/bayshore-preserve
1238,Antoine Peak Conservation Area - Canfield Gulch,Eastern Washington,5.3,roundtrip,1030.0,3366.0,4.0,1,47.7219022742,-117.195131485,2021-04-14,16,https://www.wta.org/go-hiking/hikes/canfield-gulch-of-antoine-peak
1239,Gold Creek Pond Snowshoe,Snoqualmie Region,2.8,roundtrip,10.0,3000.0,3.6,20,47.3895174806,-121.380343437,2021-03-27,325,https://www.wta.org/go-hiking/hikes/gold-creek-pond-snowshoe
1240,Field Springs State Park - Puffer Butte,Eastern Washington,4.4,roundtrip,500.0,4500.0,4.25,4,46.0801183483,-117.16852745,2021-04-19,16,https://www.wta.org/go-hiking/hikes/puffer-butte
1241,Rattlesnake Ledge,Snoqualmie Region,4.0,roundtrip,1160.0,2078.0,4.03,340,47.4347127863,-121.768745691,2021-04-23,1961,https://www.wta.org/go-hiking/hikes/rattlesnake-ledge
1242,Beaver Lake Preserve,Issaquah Alps,1.2,roundtrip,50.0,460.0,3.11,9,47.5973951526,-121.991930008,2020-12-24,29,https://www.wta.org/go-hiking/hikes/beaver-lake-preserve
1243,Old Government,North Cascades,4.0,roundtrip,300.0,2400.0,2.4,5,48.0264959,-121.4440005,2020-06-07,5,https://www.wta.org/go-hiking/hikes/old-government
1244,LaCrosse Pass,Olympic Peninsula,6.4,one-way,2000.0,5566.0,2.5,4,47.7038125092,-123.314988613,2020-08-17,20,https://www.wta.org/go-hiking/hikes/lacrosse-pass
1245,Anderson Glacier,Olympic Peninsula,0.8,one-way,735.0,5200.0,2.67,6,47.6961586277,-123.326468468,2020-08-02,22,https://www.wta.org/go-hiking/hikes/anderson-glacier
1246,Bridle Trails State Park,Puget Sound and Islands,3.5,roundtrip,450.0,525.0,3.36,11,47.6549726617,-122.184278173,2021-04-17,77,https://www.wta.org/go-hiking/hikes/bridle-trails-state-park
1247,Verne Samuelson Trail,Olympic Peninsula,3.0,roundtrip,,,3.0,5,48.0946203062,-123.455600739,2019-09-14,3,https://www.wta.org/go-hiking/hikes/verne-samuelson-trail
1248,West Tiger 3,Issaquah Alps,5.0,roundtrip,2100.0,2525.0,3.35,37,47.5295789,-121.9956374,2021-04-20,733,https://www.wta.org/go-hiking/hikes/west-tiger-3
1249,Brewery Park at Tumwater Falls,Olympic Peninsula,0.5,roundtrip,30.0,150.0,4.14,7,47.0140964077,-122.904494628,2021-04-08,29,https://www.wta.org/go-hiking/hikes/tumwater-falls-park
1250,Young Hill,Puget Sound and Islands,2.2,roundtrip,587.0,665.0,3.29,7,48.586617,-123.1468,2021-04-09,15,https://www.wta.org/go-hiking/hikes/young-hill
1251,Lennox Creek (Dog Mountain),Snoqualmie Region,9.0,roundtrip,3800.0,5408.0,3.0,1,47.6364740064,-121.523362845,2020-12-05,62,https://www.wta.org/go-hiking/hikes/lennox-creek-dog-mountain
1252,Kaleetan Lake,Snoqualmie Region,20.2,roundtrip,,4300.0,3.33,3,47.401137857,-121.51848793,2020-08-31,37,https://www.wta.org/go-hiking/hikes/kaleetan-lake
1253,Thunder Knob,North Cascades,3.6,roundtrip,635.0,1875.0,3.72,29,48.6905,-121.097966667,2021-04-19,196,https://www.wta.org/go-hiking/hikes/thunder-knob
1254,Dog Mountain,Southwest Washington,6.0,roundtrip,2800.0,2948.0,4.31,29,45.6992666667,-121.706583333,2021-04-21,199,https://www.wta.org/go-hiking/hikes/dog-mountain
1255,Steigerwald Lake National Wildlife Refuge,Southwest Washington,2.8,roundtrip,,,4.0,3,45.5706735403,-122.313194275,2020-01-11,13,https://www.wta.org/go-hiking/hikes/gibbons-creek-wildlife-art-trail
1256,St. Cloud,Southwest Washington,1.0,roundtrip,,50.0,3.67,3,45.6013080042,-122.111148834,2020-08-18,4,https://www.wta.org/go-hiking/hikes/st.-cloud
1257,Klickitat Rail Trail - Swale Canyon,Southwest Washington,13.0,one-way,450.0,1550.0,2.67,3,45.724008246,-121.030797958,2021-04-18,29,https://www.wta.org/go-hiking/hikes/klickitat-rail-trail-swale-canyon
1258,Weldon Wagon Road,Southwest Washington,5.4,roundtrip,1290.0,1900.0,3.0,3,45.8000843813,-121.470680237,2021-04-22,20,https://www.wta.org/go-hiking/hikes/weldon-wagon-road
