,Unnamed: 0,title,Unnamed: 2,riding area,rating,distance,descent,climb,popularity_score
33,,orchards park,,Orchards Park,,974 ft,,,0
34,,trail,,Orchards Park,,377 ft,,,0
35,,orchards park loop trail,,Orchards Park,,"1,768 ft",,2 ft,0
36,,orchards park path,,Orchards Park,,"1,198 ft",,,0
37,,orchards park path,,Orchards Park,,965 ft,,5 ft,0
38,,gibbons creek wildlife art trail,,Steigerwald Lake,,"3,304 ft",-2 ft,8 ft,0
39,,teal slough trail,,Willapa National Wildlife Refuge,,"1,647 ft",-2 ft,89 ft,0
40,,martha jordan birding trail,,Willapa National Wildlife Refuge,,2 miles,-18 ft,,0
41,,center road trail 2,,Willapa National Wildlife Refuge,,1 mile,,171 ft,0
42,,center road trail,,Willapa National Wildlife Refuge,,5 miles,-196 ft,311 ft,0
43,,sand spit trail,,Willapa National Wildlife Refuge,,"2,024 ft",-21 ft,,0
44,,saw log trail,,Willapa National Wildlife Refuge,,"4,190 ft",-11 ft,57 ft,0
45,,high point,,Willapa National Wildlife Refuge,,"3,724 ft",-120 ft,,0
46,,don bonker cedar grove trail,,Willapa National Wildlife Refuge,,"4,350 ft",-53 ft,26 ft,0
47,,salmon art trail,,Willapa National Wildlife Refuge,,"3,999 ft",-160 ft,175 ft,0
48,,sugarloaf,,Siouxon Area,,2 miles,-153 ft,"1,166 ft",0
49,,japanese garden,,Lake Sacajawea Park,,745 ft,-4 ft,5 ft,0
50,,rhododendron garden,,Lake Sacajawea Park,,367 ft,,,0
51,,lyons island,,Lake Sacajawea Park,,538 ft,,3 ft,0
52,,cedar lake  1159,,Clearwater Wilderness,,"4,573 ft",,591 ft,0
53,,lyle lake trail  1178 1,,Clearwater Wilderness,,"5,220 ft",-118 ft,39 ft,0
54,,clearwest peak trail  1181,,Clearwater Wilderness,,1 mile,,898 ft,0
55,,rooster comb ridge  1177 1,,Clearwater Wilderness,,2 miles,-124 ft,683 ft,0
56,,trail of the deer,,Lewis and Clark State Park,,1 mile,-9 ft,127 ft,0
57,,western trail,,Lewis and Clark State Park,,"2,352 ft",-10 ft,,0
58,,western trail,,Lewis and Clark State Park,,"2,247 ft",-33 ft,,0
59,,playfield,,Lewis and Clark State Park,,"3,222 ft",-39 ft,74 ft,0
60,,trail of the deer  se loop ,,Lewis and Clark State Park,,"1,480 ft",,100 ft,0
61,,inner loop,,Lewis and Clark State Park,,1 mile,-12 ft,48 ft,0
62,,community center loop,,Lewis and Clark State Park,,1 mile,-12 ft,46 ft,0
63,,swan creek trail,,Swan Creek Park,,2 miles,-395 ft,82 ft,0
64,,first bridge loop,,Tacoma Nature Center,,"2,779 ft",-6 ft,18 ft,0
65,,first bridge,,Tacoma Nature Center,,295 ft,,,0
66,,second bridge,,Tacoma Nature Center,,151 ft,,,0
67,,second bridge loop  e ,,Tacoma Nature Center,,"1,430 ft",-3 ft,,0
68,,hillside loop,,Tacoma Nature Center,,"2,949 ft",-87 ft,100 ft,0
69,,hillside loop extension,,Tacoma Nature Center,,"1,368 ft",-22 ft,26 ft,0
70,,meadow loop,,Tacoma Nature Center,,883 ft,-20 ft,28 ft,0
71,,viewpoint loop,,Tacoma Nature Center,,705 ft,-11 ft,11 ft,0
72,,camas trail,,Oak Tree Park,,"1,030 ft",,7 ft,0
73,,camas   oak tree,,Oak Tree Park,,686 ft,-9 ft,22 ft,0
74,,oak tree trail,,Oak Tree Park,,"1,572 ft",-9 ft,30 ft,0
75,,pine street trail,,Oak Tree Park,,807 ft,-4 ft,,0
76,,eastern border trail,,Wapato Hills Park,,"1,775 ft",-18 ft,3 ft,0
77,,western border trail,,Wapato Hills Park,,"2,231 ft",,46 ft,0
78,,playground loop trail,,Wapato Hills Park,,"1,703 ft",-11 ft,7 ft,0
79,,southern access trail,,Wapato Hills Park,,915 ft,,80 ft,0
80,,wetland loop trail,,Wapato Hills Park,,"3,556 ft",-23 ft,100 ft,0
81,,nuthatch,,Bresemann Forest,,725 ft,,,0
82,,sandy beach trail,,Tolmie State Park,,"1,273 ft",,13 ft,0
83,,owen beach,,Point Defiance Park,,"4,938 ft",-6 ft,7 ft,0
84,,foothills trail  cascade junction   wilkeson ,,Pierce County,,4 miles,-58 ft,322 ft,0
85,,kobayashi park,,Chambers Creek Regional Park,,"1,542 ft",-15 ft,,0
86,,trail of the giants,,Pack Forest,,"2,874 ft",-184 ft,141 ft,0
87,,reservoir trail,,Pack Forest,,"4,203 ft",-451 ft,,0
88,,wildlife trail,,Pack Forest,,"1,329 ft",-124 ft,,0
89,,new forestry loop,,Pack Forest,,"2,680 ft",-226 ft,,0
90,,elk meadow trail,,Pack Forest,,"2,395 ft",-41 ft,17 ft,0
91,,kelcema lake trail  718,,Boulder River Wilderness,,"2,372 ft",-71 ft,,0
92,,squire creek trail  654,,Boulder River Wilderness,,5 miles,"-2,943 ft",50 ft,0
93,,neiderprum trail  653,,Boulder River Wilderness,,2 miles,,"3,359 ft",0
94,,marten creek trail  713,,Boulder River Wilderness,,3 miles,-219 ft,"1,547 ft",0
95,,saddle lake   meadow mountain trail  715,,Boulder River Wilderness,,5 miles,-731 ft,"2,297 ft",0
96,,forks of canyon creek trail,,Boulder River Wilderness,,2 miles,,"1,146 ft",0
97,,canyon lake trail  720,,Mt. Baker-Snoqualmie National Forest,,3 miles,-290 ft,43 ft,0
98,,dorothy cleveland trail,,Possession Beach Waterfront Park,,"2,861 ft",-56 ft,381 ft,0
99,,sacred ridge trail,,Whidbey Institute,,856 ft,,,0
0,,granny s trail,,Whidbey Institute,,"1,972 ft",-135 ft,10 ft,0
1,,sky loop,,Whidbey Institute,,"1,201 ft",-14 ft,37 ft,0
2,,story house loop,,Whidbey Institute,,"2,894 ft",-58 ft,48 ft,0
3,,farm loop trail,,Whidbey Institute,,"2,762 ft",-49 ft,91 ft,0
4,,upper loop,,Whidbey Institute,,"4,993 ft",-150 ft,179 ft,0
5,,east trail,,Chinook Bend Natural Area,,"1,040 ft",,,0
6,,chinook bend loop,,Chinook Bend Natural Area,,1 mile,-15 ft,16 ft,0
7,,main trail,,Chinook Bend Natural Area,,449 ft,,4 ft,0
8,,trail,,Chinook Bend Natural Area,,"1,030 ft",-3 ft,,0
9,,trail,,Chinook Bend Natural Area,,807 ft,,,0
10,,three forks trail,,Three Forks Natural Area,,"4,659 ft",-8 ft,2 ft,0
11,,loop trail,,Camano Island State Park,,"1,348 ft",-2 ft,44 ft,0
12,,elger bay nature trail,,Elger Bay Preserve,,1 mile,-95 ft,86 ft,0
13,,forest loop,,Elger Bay Preserve,,"2,103 ft",-77 ft,64 ft,0
14,,beaver marsh,,Elger Bay Preserve,,82 ft,,,0
15,,elger bay nature trail,,Elger Bay Preserve,,"1,955 ft",-31 ft,,0
16,,north loop,,Elger Bay Preserve,,879 ft,-10 ft,5 ft,0
17,,shoreline trail,,Barnum Point County Park,,"3,868 ft",-34 ft,33 ft,0
18,,iverson spit trail,,Iverson Spit Preserve,,1 mile,-20 ft,23 ft,0
19,,hobbit trail,,Iverson Spit Preserve,,830 ft,,,0
20,,animal tracks nature trail,,Camp Long,,"1,594 ft",-37 ft,,0
21,,longfellow creek legacy trail,,Camp Long,,4 miles,-62 ft,310 ft,0
22,,pea patch trail,,Luther Burbank Park,,499 ft,,70 ft,0
23,,pacific dogwood path,,Trillium Community Forest,,"3,894 ft",-3 ft,156 ft,0
24,,meadowood,,Trillium Community Forest,,928 ft,,49 ft,0
25,,forest discovery  north ,,South Whidbey State Park,,"1,158 ft",-22 ft,10 ft,0
26,,beach trail,,South Whidbey State Park,,"1,696 ft",-145 ft,,0
27,,ancient cedar,,South Whidbey State Park,,131 ft,,,0
28,,wilbert trail,,South Whidbey State Park,,"4,177 ft",-75 ft,141 ft,0
29,,ridge loop trail,,South Whidbey State Park,,1 mile,-193 ft,277 ft,0
30,,hobbit trail,,South Whidbey State Park,,"1,115 ft",-86 ft,9 ft,0
31,,pratt loop,,Coupeville,,"4,314 ft",-5 ft,15 ft,0
32,,moyers meadow,,Joseph Whidbey State Park,,"1,001 ft",,20 ft,0
33,,south loop,,Joseph Whidbey State Park,,"2,136 ft",-12 ft,21 ft,0
34,,eagle landing interpretive trail,,Seatac,,"1,037 ft",-99 ft,,0
35,,witt winter garden,,Washington Park Arboretum,,"1,001 ft",-5 ft,9 ft,0
36,,day use picnic area,,Meadowdale Beach Park,,"1,739 ft",-14 ft,19 ft,0
37,,little huckleberry mountain trail 49,,Little Huckleberry Mountain,,2 miles,-57 ft,"1,800 ft",0
38,,louisa boren park trail,,Interlaken Park,,"1,867 ft",-194 ft,3 ft,0
39,,burbank docks,,Luther Burbank Park,,354 ft,,,0
40,,top lake trail  1506,,Henry M. Jackson Wilderness,,5 miles,-712 ft,"1,603 ft",0
41,,pass creek trail  1503,,Henry M. Jackson Wilderness,,3 miles,"-1,056 ft",117 ft,0
42,,bald eagle trail  650,,Mt. Baker-Snoqualmie National Forest,,9 miles,"-2,790 ft","1,157 ft",0
43,,north fork skykomish trail  1051,,Henry M. Jackson Wilderness,,8 miles,-11 ft,"3,089 ft",0
44,,pilot ridge trail  652,,Glacier Peak Wilderness,,10 miles,"-4,964 ft","1,672 ft",0
45,,old rail line,,Al Borlin Park,,"1,801 ft",-3 ft,9 ft,0
46,,trail,,Al Borlin Park,,"1,909 ft",,,0
47,,dorothy cleveland loop,,Possession Beach Waterfront Park,,856 ft,-70 ft,,0
48,,curry gap trail  650,,Mt. Baker-Snoqualmie National Forest,,4 miles,,"1,551 ft",0
49,,quartz creek trail  1050,,Henry M. Jackson Wilderness,,4 miles,"-1,461 ft",19 ft,0
50,,old kelley creek  1076,,Henry M. Jackson Wilderness,,4 miles,-98 ft,"2,176 ft",0
51,,kelley creek   martin creek connector  1076,,Skykomish,,2 miles,-41 ft,"1,120 ft",0
52,,meadow lake trail  657 1,,Glacier Peak Wilderness,,"3,599 ft",-309 ft,43 ft,0
53,,indigo lake way trail,,Mt. Baker-Snoqualmie National Forest,,"3,022 ft",-771 ft,,0
54,,meadow mountain trail  657,,Darrington,,18 miles,"-4,488 ft","4,520 ft",0
55,,diamond lake  657 2,,Darrington,,"4,475 ft",-587 ft,208 ft,0
56,,shuksan lake  608,,Mount Baker Wilderness,,2 miles,-803 ft,"1,598 ft",0
57,,horseshoe cove  609,,Sedro Woolley,,"3,963 ft",-36 ft,26 ft,0
58,,lenox creek trail  old rd 57   1001,,Alpine Lakes Wilderness,,2 miles,-562 ft,,0
59,,lennox creek trail  1001,,Alpine Lakes Wilderness,,3 miles,"-1,969 ft",73 ft,0
60,,gray wolf trail  upper onp ,,Olympic National Park,,2 miles,-427 ft,465 ft,0
61,,rose springs to powell spring,,East Washington,,6 miles,-511 ft,855 ft,0
62,,steam hoist trail w4,,Cougar Mountain Regional Wildland Park,,"1,188 ft",-6 ft,16 ft,0
63,,circle peak  638 1,,Mt. Baker-Snoqualmie National Forest,,3 miles,-224 ft,"1,742 ft",0
64,,river trail,,Marymoor Park,,1 mile,-5 ft,6 ft,0
65,,summer blossom trail  1258,,Angels Staircase / Uno Peak,,6 miles,"-2,004 ft","1,047 ft",0
66,,west fishing access,,Lord Hill Regional Park,,896 ft,-6 ft,,0
67,,bay to baker trail,,Glacier,,2 miles,-78 ft,34 ft,0
68,,dozer trail,,Glacier,,"1,890 ft",,40 ft,0
69,,maple falls park loop trail,,Glacier,,"5,062 ft",-206 ft,193 ft,0
70,,maple falls park side trail,,Glacier,,"3,284 ft",-187 ft,40 ft,0
71,,dry creek trail  872  872,,Olympic National Forest,,7 miles,"-2,985 ft","1,203 ft",0
72,,garry oak trail,,Snow Mountain Ranch,,"2,270 ft",-4 ft,35 ft,0
73,,cowiche mountain trail east,,Snow Mountain Ranch,,2 miles,"-1,156 ft",41 ft,0
74,,balanced rock trail,,Snow Mountain Ranch,,"1,752 ft",-42 ft,66 ft,0
75,,snow mountain ranch to rocky top connector,,Snow Mountain Ranch,,1 mile,-3 ft,328 ft,0
76,,swallowtail trail,,Snow Mountain Ranch,,686 ft,,15 ft,0
77,,coleman deming high route,,Mount Baker Wilderness,,1 mile,,"1,165 ft",0
78,,park glacier route,,Mount Baker Wilderness,,2 miles,-162 ft,682 ft,0
79,,coleman deming route,,Mount Baker Wilderness,,3 miles,,"4,745 ft",0
80,,table mountain trail,,Dark Divide,,1 mile,-125 ft,793 ft,0
81,,yellowjacket connector 058 409,,Umatilla National Forest,,1 mile,-26 ft,498 ft,0
82,,the back 40,,Washington,,"5,020 ft",-176 ft,68 ft,0
83,,sasse mountain shortcut,,Washington,,"2,640 ft",-271 ft,63 ft,0
84,,the ridge trail,,Pilchuck Tree Farm,,1 mile,-385 ft,89 ft,0
85,,below the ridge,,Pilchuck Tree Farm,,"4,809 ft",-92 ft,264 ft,0
86,,east hoypus point trail,,Hoypus Hill,,"3,710 ft",-191 ft,3 ft,0
87,,whittier ridge trail  214,,Mt. St. Helens National Volcanic Monument,,2 miles,"-1,114 ft",699 ft,0
88,,lager   numero uno,,Pilchuck Tree Farm,,"1,901 ft",-6 ft,110 ft,0
89,,ipa,,Pilchuck Tree Farm,,"1,301 ft",-69 ft,,0
90,,unknown singletrack,,Teanaway,,543 ft,-32 ft,,0
91,,lost lake wetlands trail   oha,,Mt Bonaparte,,"1,509 ft",-44 ft,29 ft,0
92,,lost lake upland forest trail   oha,,Mt Bonaparte,,"2,904 ft",-83 ft,156 ft,0
93,,table mountain trail,,Mount Baker Wilderness,,"2,579 ft",-549 ft,,0
94,,bluff trail,,Fort Townsend State Park,,"3,012 ft",-3 ft,171 ft,0
95,,french cabin creek trail,,Kachess Ridge,,"5,190 ft",-719 ft,29 ft,0
96,,big buck wildlife area trail,,Winthrop,,2 miles,-233 ft,73 ft,0
97,,national forest development road 030,,Mount Baker Wilderness,,"4,311 ft",-96 ft,223 ft,0
98,,trail 101,,Riverside State Park,,"4,528 ft",-15 ft,39 ft,0
99,,fivemile viewpoint trail,,Enchantments,,"1,969 ft",-371 ft,,0
0,,trunk trail,,North Fork Nooksack,,"4,508 ft",-425 ft,,0
1,,horse trail,,North Fork Nooksack,,"4,098 ft",-183 ft,369 ft,0
2,,endo trail,,North Fork Nooksack,,"3,015 ft",-84 ft,162 ft,0
3,,campfire trail,,North Fork Nooksack,,778 ft,,169 ft,0
4,,horse trail bypass,,North Fork Nooksack,,358 ft,,,0
5,,fire training academy trail,,Middle Fork Snoqualmie NRCA,,"1,864 ft",-152 ft,21 ft,0
6,,swimming bear lake way trail,,Mount Olympus,,"2,415 ft",-348 ft,25 ft,0
7,,durr road,,Yakima,,3 miles,"-1,514 ft",,0
8,,black canyon road,,Yakima,,2 miles,-15 ft,628 ft,0
9,,forest road 5400 430,,Cabin Creek,,"3,488 ft",-226 ft,3 ft,0
10,,park creek trail,,North Cascades National Park,,7 miles,-290 ft,"4,097 ft",0
11,,to know a tree trail,,Ross Lake National Recreation Area,,"1,949 ft",-11 ft,12 ft,0
12,,river loop access trail,,Ross Lake National Recreation Area,,784 ft,-9 ft,,0
13,,elbow lake trail,,Mount Baker Wilderness,,4 miles,-516 ft,"1,576 ft",0
14,,panorama dome trail,,Mt. Baker-Snoqualmie National Forest,,2 miles,-329 ft,857 ft,0
15,,middle fork pasayten trail,,Pasayten Wilderness Area,,11 miles,"-2,094 ft",208 ft,0
16,,whistler cutoff trail,,Pasayten Wilderness Area,,3 miles,"-1,272 ft",75 ft,0
17,,robinson creek trail,,Pasayten Wilderness Area,,1 mile,-84 ft,21 ft,0
18,,jake mountain trail,,Ross Lake National Recreation Area,,3 miles,,"4,018 ft",0
19,,burch mountain trail,,Pasayten Wilderness Area,,2 miles,-229 ft,"1,396 ft",0
20,,tungsten trail,,Pasayten Wilderness Area,,6 miles,-150 ft,"2,232 ft",0
21,,dock butte trail,,Mt. Baker-Snoqualmie National Forest,,2 miles,-10 ft,"1,138 ft",0
22,,south fork hoh river trail,,Olympic National Park,,5 miles,-155 ft,217 ft,0
23,,pendleton,,Kittitas County,,2 miles,-54 ft,716 ft,0
24,,heritage,,Kittitas County,,2 miles,"-1,083 ft",,0
25,,frog rock trail,,Chelan,,1 mile,,"1,224 ft",0
26,,national forest development road 3107,,Chelan,,2 miles,-3 ft,534 ft,0
27,,ozette river to sand pt beach travelway,,Olympic National Park | Pacific Coast,,1 mile,-196 ft,148 ft,0
28,,fog city trail 967a,,Crystal Mountain,,"4,022 ft",-533 ft,,0
29,,scout patrol peak scramble,,South Fork Snoqualmie,,"1,857 ft",-103 ft,284 ft,0
30,,old cascade crest trail,,Indian Heaven Wilderness,,1 mile,-69 ft,26 ft,0
31,,big hollow trail  158,,Trapper Creek Wilderness,,3 miles,"-2,320 ft",7 ft,0
32,,shortcut trail,,Trapper Creek Wilderness,,"1,824 ft",,219 ft,0
33,,comet falls van trump,,Longmire,,5 miles,"-2,023 ft","1,869 ft",0
34,,fay peak trail,,Carbon River and Mowich,,"3,287 ft",,876 ft,0
35,,tahoma creek trail,,Longmire,,2 miles,-41 ft,"1,003 ft",0
36,,north puyallup,,Carbon River and Mowich,,3 miles,-160 ft,547 ft,0
37,,national forest development road 43,,Twisp,,2 miles,-28 ft,539 ft,0
38,,pct   crest horse to junction lake 2000h,,Indian Heaven Wilderness,,9 miles,-648 ft,"1,894 ft",0
39,,looking glass lake 9a,,Mount Adams Wilderness,,"5,049 ft",-438 ft,18 ft,0
40,,lily basin trail  86,,Goat Rock Wilderness,,8 miles,-846 ft,"3,280 ft",0
41,,pct   hwy 12 to laughingwater 2000i,,Washington,,17 miles,"-1,793 ft","3,108 ft",0
42,,pct   fs7080 to fr54 2000i,,410 / Mount Rainier North,,26 miles,"-5,631 ft","4,439 ft",0
43,,icicle gorge upper loop  1596 1,,Leavenworth,,1 mile,-176 ft,153 ft,0
44,,icicle gorge upper loop tie  1596 2,,Leavenworth,,"2,976 ft",-145 ft,,0
45,,national forest development road 6022,,Index,,4 miles,-163 ft,"1,163 ft",0
46,,national forest development road 2573,,Dark Divide,,8 miles,-845 ft,684 ft,0
47,,etienne creek tr  1210,,Teanaway,,3 miles,"-1,898 ft",,0
48,,4w325a bethel ridge,,Yakima,,5 miles,-992 ft,141 ft,0
49,,natural bridges,,Gotchen Creek,,"2,185 ft",-18 ft,,0
50,,bridge trail,,Beacon Rock State Park,,"4,472 ft",-140 ft,106 ft,0
51,,forest loop trail,,Rooster Rock State Park,,1 mile,-138 ft,105 ft,0
52,,forest loop  east ,,Rooster Rock State Park,,1 mile,-45 ft,54 ft,0
53,,pct   junction lake to fr 23 2000h,,Indian Heaven Wilderness,,21 miles,"-3,113 ft","2,246 ft",0
54,,access trail,,Danville Georgetown Open Space,,942 ft,,,0
55,,mountain beaver,,Danville Georgetown Open Space,,"1,890 ft",-29 ft,,0
56,,raccoon,,Danville Georgetown Open Space,,"1,542 ft",-32 ft,,0
57,,putnam loop,,Danville Georgetown Open Space,,1 mile,-45 ft,41 ft,0
58,,15 mile railroad grade,,Tiger Mountain State Forest,,2 miles,-324 ft,60 ft,0
59,,ragged ridge,,Spokane,,1 mile,-304 ft,727 ft,0
60,,shoe lake trail  1119,,Goat Rock Wilderness,,1 mile,-514 ft,86 ft,0
61,,upper lake creek trail  81,,Goat Rock Wilderness,,7 miles,"-2,746 ft",128 ft,0
62,,gravel path,,Beaver Lake Preserve,,154 ft,,,0
63,,boundary trail  533,,Pasayten Wilderness Area,,9 miles,"-1,228 ft","1,277 ft",0
64,,little beaver trail,,North Cascades National Park,,6 miles,"-2,612 ft",12 ft,0
65,,bell pass trail  603 3,,Mount Baker Wilderness,,5 miles,-279 ft,"2,017 ft",0
66,,mt  townsend trail  839,,Buckhorn Wilderness,,6 miles,-964 ft,"3,429 ft",0
67,,constance pass trail,,Olympic National Park,,7 miles,"-4,621 ft","2,014 ft",0
68,,kraus bottom trail,,Olympic National Park,,"1,430 ft",-178 ft,,0
69,,wolf creek trail,,Olympic National Park,,8 miles,"-4,088 ft",261 ft,0
70,,grand lake trail,,Olympic National Park,,"2,005 ft",-189 ft,,0
71,,elwha river trail,,Olympic National Park,,16 miles,"-2,760 ft","3,355 ft",0
72,,cameron   lost pass trail,,Olympic National Park,,2 miles,-267 ft,"1,145 ft",0
73,,cameron pass trail,,Olympic National Park,,3 miles,"-2,342 ft",46 ft,0
74,,round lake trail,,Olympic National Park,,"1,086 ft",-88 ft,,0
75,,cat basin appleton pass way trail,,Mount Olympus,,3 miles,"-1,033 ft","1,217 ft",0
76,,nevermind trail,,Olallie State Park,,394 ft,,149 ft,0
77,,mt  ellinor connector trail  827 2,,Olympic National Park,,1 mile,-16 ft,987 ft,0
78,,hart lake way,,Olympic National Park,,"4,173 ft",-23 ft,380 ft,0
79,,home sweet home trail,,Olympic National Park,,2 miles,"-1,969 ft",14 ft,0
80,,cameron creek trail,,Olympic National Park,,7 miles,"-2,446 ft",381 ft,0
81,,grey wolf pass,,Olympic National Park,,12 miles,"-2,502 ft","4,080 ft",0
82,,baldy trail,,Buckhorn Wilderness,,3 miles,-80 ft,"3,656 ft",0
83,,upper maynard burn trail,,Olympic National Forest,,"3,104 ft",,352 ft,0
84,,upper royal basin trail,,Olympic National Park,,1 mile,-33 ft,625 ft,0
85,,tyler baldy connector,,Buckhorn Wilderness,,"3,960 ft",-89 ft,300 ft,0
86,,duckabush river trail,,Olympic National Park,,10 miles,-791 ft,"2,182 ft",0
87,,mount juniter,,Olympic National Forest,,6 miles,-266 ft,"3,842 ft",0
88,,truman trail,,Mt. St. Helens National Volcanic Monument,,4 miles,-604 ft,594 ft,0
89,,ape cave upper underground tunnel,,Mt. St. Helens National Volcanic Monument,,1 mile,,365 ft,0
90,,side trail,,Mount Rainier National Park,,305 ft,,32 ft,0
91,,soda peaks lake  133,,Trapper Creek Wilderness,,"1,657 ft",-53 ft,89 ft,0
92,,trapper creek trail,,Trapper Creek Wilderness,,6 miles,-626 ft,"2,910 ft",0
93,,twin lakes trail,,Glacier Peak Wilderness,,3 miles,-201 ft,"1,076 ft",0
94,,robinson mountain trail,,Pasayten Wilderness Area,,4 miles,,"4,966 ft",0
95,,robinson creek trail,,Pasayten Wilderness Area,,9 miles,-162 ft,"3,832 ft",0
96,,blowdown mountain trail,,Mount Si Natural Resources Conservation Area,,"3,990 ft",,654 ft,0
97,,bear lake trail,,Mount Pilchuck State Park,,"1,621 ft",-6 ft,116 ft,0
98,,south coast beach travelway,,Olympic National Park | Pacific Coast,,4 miles,-92 ft,103 ft,0
99,,cascade pass trail  stehekin river ,,North Cascades National Park,,5 miles,-20 ft,"2,655 ft",0
0,,elwha to hurricane hill trail,,Port Angeles,,6 miles,"-5,234 ft",43 ft,0
1,,keep kool trail,,Mount Baker Wilderness,,3 miles,"-2,395 ft",7 ft,0
2,,copper ridge trail,,North Cascades National Park,,12 miles,"-5,102 ft","2,906 ft",0
3,,gorge creek falls,,North Cascades National Park,,243 ft,-101 ft,,0
4,,pratt river trail  1035,,Alpine Lakes Wilderness,,9 miles,"-2,513 ft",89 ft,0
5,,north lake trail,,Mt. Baker-Snoqualmie National Forest,,2 miles,"-1,244 ft",751 ft,0
6,,war creek  408,,Lake Chelan Sawtooth Wilderness,,9 miles,-33 ft,"3,714 ft",0
7,,star peak trail,,Lake Chelan Sawtooth Wilderness,,1 mile,-153 ft,"1,416 ft",0
8,,white chuck river trail,,Glacier Peak Wilderness,,1 mile,-647 ft,147 ft,0
9,,muddy meadows trail  13,,Mount Adams Wilderness,,5 miles,"-1,446 ft",,0
10,,north coast beach travelway,,Olympic National Park | Pacific Coast,,17 miles,-275 ft,259 ft,0
11,,falls creek trail,,Alpine Lakes Wilderness,,3 miles,"-2,677 ft",32 ft,0
12,,fourth creek trail,,Alpine Lakes Wilderness,,3 miles,-53 ft,"1,295 ft",0
13,,tired creek trail,,Alpine Lakes Wilderness,,3 miles,,"2,119 ft",0
14,,mineral creek trail,,Alpine Lakes Wilderness,,4 miles,"-2,330 ft",5 ft,0
15,,holden lake trail,,Glacier Peak Wilderness,,4 miles,,"2,006 ft",0
16,,basin lake trail 987a,,Norse Peak Wilderness,,"3,281 ft",-256 ft,5 ft,0
17,,west cady ridge trail,,Wild Sky Wilderness - Eagle Rock Unit,,8 miles,"-1,163 ft","3,618 ft",0
18,,norse peak connector,,Norse Peak Wilderness,,"2,477 ft",,392 ft,0
19,,williams lake  407,,Lake Chelan Sawtooth Wilderness,,7 miles,-23 ft,"3,692 ft",0
20,,louis lake trail  428,,Lake Chelan Sawtooth Wilderness,,3 miles,-29 ft,"1,495 ft",0
21,,purple creek trail,,Lake Chelan National Rec. Area (North Cascades N.P.),,8 miles,-280 ft,"5,815 ft",0
22,,balfour klickitat loop,,Columbia River Gorge National Scenic Area,,"2,720 ft",-71 ft,7 ft,0
23,,lakeshore trail  wilderness   1247,,Lake Chelan Sawtooth Wilderness,,13 miles,"-2,345 ft","2,356 ft",0
24,,trail,,Lake Easton State Park,,699 ft,-51 ft,25 ft,0
25,,soda peaks lake,,Trapper Creek Wilderness,,"2,454 ft",-21 ft,31 ft,0
26,,lava butte trail 200,,Trapper Creek Wilderness,,1 mile,-7 ft,955 ft,0
27,,chiwawa river trail  1550,,Glacier Peak Wilderness,,3 miles,,"1,552 ft",0
28,,multi purpose trail,,Saddle Rock Natural Area,,"1,906 ft",-153 ft,74 ft,0
29,,ice lakes trail  1405 1,,Glacier Peak Wilderness,,2 miles,-110 ft,"1,862 ft",0
30,,whitechuck bench  731,,Darrington,,5 miles,-327 ft,910 ft,0
31,,sand ridge  1104,,William O. Douglas Wilderness,,9 miles,-352 ft,"2,133 ft",0
32,,spiral butte  1108,,William O. Douglas Wilderness,,2 miles,,"1,065 ft",0
33,,salt creek  75,,Mount Adams Wilderness,,3 miles,-202 ft,639 ft,0
34,,takh takh lave flow,,Dark Divide,,"1,601 ft",,40 ft,0
35,,burley mountain trail  256,,Dark Divide,,3 miles,"-2,460 ft",47 ft,0
36,,acker lake trail,,Indian Heaven Wilderness,,2 miles,-133 ft,163 ft,0
37,,deep lake trail 33a,,Indian Heaven Wilderness,,541 ft,,,0
38,,lemei rock,,Indian Heaven Wilderness,,"2,431 ft",,538 ft,0
39,,tombstone lake trail  55,,Indian Heaven Wilderness,,"1,535 ft",-79 ft,3 ft,0
40,,shortcut trail 171a,,Indian Heaven Wilderness,,"2,907 ft",-18 ft,56 ft,0
41,,miller s landing,,Ridgefield National Wildlife Refuge,,"1,565 ft",-3 ft,,0
42,,mountain view trail,,Steigerwald Lake,,"5,138 ft",-12 ft,21 ft,0
43,,gibbons creek wildlife art trail loop,,Steigerwald Lake,,1 mile,-9 ft,11 ft,0
44,,spruce mill trail,,Vancouver,,"1,752 ft",-3 ft,,0
45,,old growth forest trail,,Lewis and Clark State Park,,"3,071 ft",-3 ft,3 ft,0
46,,outer loop,,Lewis and Clark State Park,,2 miles,-156 ft,150 ft,0
47,,water flume pathway,,Pierce County,,2 miles,-21 ft,30 ft,0
48,,northern access trail,,Wapato Hills Park,,"1,142 ft",,75 ft,0
49,,sapsucker,,Bresemann Forest,,295 ft,,6 ft,0
50,,beach trail,,Tolmie State Park,,312 ft,-3 ft,,0
51,,wetlands loop,,West Hylebos Wetlands Park,,"4,488 ft",-38 ft,13 ft,0
52,,goat trail,,Whidbey Institute,,732 ft,-42 ft,,0
53,,wetlands trail,,Whidbey Institute,,"1,010 ft",-5 ft,26 ft,0
54,,sfft lower falls trail,,Snoqualmie,,"3,271 ft",-36 ft,116 ft,0
55,,inner trail,,Iverson Spit Preserve,,958 ft,,,0
56,,mount defiance trail  1009,,Alpine Lakes Wilderness,,2 miles,"-1,476 ft",56 ft,0
57,,lower loop trail,,Camp Long,,"2,582 ft",-70 ft,116 ft,0
58,,longfellow creek spur,,Camp Long,,358 ft,-16 ft,,0
