,Unnamed: 0,title,Unnamed: 2,riding area,rating,distance,descent,climb,popularity_score
82,,blackwell-gap-loop--366,,Southern Nantahala National Forest,,3 miles,-635 ft,354 ft,0
83,,mountain-to-sea-trail--nc-segment-29,,Burlington,,1 mile,-52 ft,32 ft,0
84,,a-t--side-trails--a--rufus-morgan-shelter-water-source-1-side-trail,,Appalachian Trail Corridor (NC),,16 ft,,,0
85,,naked-ground-trail-tr55,,Joyce Kilmer/Slickrock Wilderness,,4 miles,"-2,698 ft",18 ft,0
86,,south-river-trail,,West Point on the Eno,,"2,799 ft",-56 ft,52 ft,0
87,,sandy-cliff-overlook,,Lake James State Park,,"1,358 ft",-3 ft,15 ft,0
88,,devil-s-den-nature--192,,Mount Mitchell State Park,,"2,776 ft",-119 ft,114 ft,0
89,,running-cedar-trail,,Brumley Nature Preserve,,"2,661 ft",-27 ft,21 ft,0
90,,a-t--side-trails--wesser-bald-shelter-side-trail,,Appalachian Trail Corridor (NC),,174 ft,-18 ft,,0
91,,nichols-cove-trail--bmt--tr44,,Joyce Kilmer/Slickrock Wilderness,,"4,370 ft",-571 ft,,0
92,,brightwood-park-trail,,Greensboro,,863 ft,,25 ft,0
93,,tapoco-trail--bmt-,,"Nantahala National Forest, Cheoah Ranger District",,1 mile,-524 ft,10 ft,0
94,,yadkin-islands-trail,,Pilot Mountain State Park Yadkin River Section,,"2,382 ft",-9 ft,6 ft,0
95,,a-t--side-trails--brown-fork-gap-water-source-side-trail,,Appalachian Trail Corridor (NC),,177 ft,-14 ft,,0
96,,mooney-falls-spur-trail-31a,,Southern Nantahala National Forest,,384 ft,-22 ft,,0
97,,haoe-lead-trail-tr53,,Joyce Kilmer/Slickrock Wilderness,,5 miles,"-2,012 ft",200 ft,0
98,,park-ridge-trail--32,,Southern Nantahala National Forest,,3 miles,-146 ft,945 ft,0
99,,a-t--side-trails--fontana-dam-shelter-side-trail,,Appalachian Trail Corridor (NC),,59 ft,-4 ft,,0
0,,crab-creek-trail,,Holmes Education State Forest,,"2,448 ft",-8 ft,3 ft,0
1,,devil---39-s-hole-trail,,Linville Gorge Wilderness Area,,1 mile,"-1,134 ft",84 ft,0
2,,connector-trail,,Haw River State Park,,269 ft,-10 ft,,0
3,,big-fat-branch-trail,,Joyce Kilmer/Slickrock Wilderness,,1 mile,,992 ft,0
4,,mountains-to-sea-trail--nc-segment-6,,Old Fort,,8 miles,"-1,534 ft","1,955 ft",0
5,,hazel-creek-trail-access,,Great Smoky Mountains National Park - West NC,,"2,917 ft",-52 ft,76 ft,0
6,,a-t--side-trails--cable-gap-shelter-side-trail,,Appalachian Trail Corridor (NC),,33 ft,,,0
7,,big-laurel-falls-trail--29,,Southern Nantahala National Forest,,"2,710 ft",-10 ft,103 ft,0
8,,lake-loop-trail,,Haw River State Park,,"1,699 ft",-13 ft,14 ft,0
9,,a-t--side-trails--cold-spring-shelter-privy-side-trail,,Appalachian Trail Corridor (NC),,85 ft,-7 ft,,0
10,,jim-redd-trail,,Kanuga Conference & Retreat,,2 miles,-100 ft,414 ft,0
11,,rim-trail--72,,Hayesville,,4 miles,-865 ft,653 ft,0
12,,mountains-to-sea-trail--nc-segment-1,,Maggie Valley,,6 miles,-579 ft,"1,643 ft",0
13,,bear-creek-trail,,Great Smoky Mountains National Park - West NC,,6 miles,-21 ft,"3,084 ft",0
14,,a-t--side-trails--cheoah-bald-vista-1-side-trail,,Appalachian Trail Corridor (NC),,112 ft,,28 ft,0
15,,stiles-cemetery-access,,Great Smoky Mountains National Park - West NC,,335 ft,-28 ft,,0
16,,big-scaly-trail--638,,Southern Nantahala National Forest,,"3,625 ft",,314 ft,0
17,,posey-cemetery-access,,Great Smoky Mountains National Park - West NC,,"1,997 ft",-27 ft,109 ft,0
18,,thumb,,Stephens Road Nature Preserve,,502 ft,,41 ft,0
19,,a-t--side-trails--hog-camp-water-source-side-trail,,Appalachian Trail Corridor (TN),,262 ft,-39 ft,,0
20,,tr-22,,Appalachian Trail Corridor (NC),,39 ft,,,0
21,,beech-gap-trail--35,,Southern Nantahala National Forest,,"2,894 ft",-47 ft,298 ft,0
22,,picnic-area-trail,,Holmes Education State Forest,,203 ft,,,0
23,,yellow-patch-trail--25,,Southern Nantahala National Forest,,"3,550 ft",,123 ft,0
24,,townsend-trail-spur,,Greensboro,,335 ft,,,0
25,,newton-bald-concession-horse-trail-loop,,Great Smoky Mountains National Park - West NC,,1 mile,-133 ft,194 ft,0
26,,thomas-branch-trail--375,,Southern Nantahala National Forest,,"1,365 ft",-28 ft,11 ft,0
27,,a-t--side-trails--muskrat-creek-shelter-side-trail,,Appalachian Trail Corridor (NC),,108 ft,,3 ft,0
28,,soil-and-water-trail,,Holmes Education State Forest,,614 ft,-21 ft,17 ft,0
29,,lake-loop-connector,,Haw River State Park,,315 ft,-23 ft,,0
30,,a-t--side-trails--cheoah-bald-vista-3-side-trail,,Appalachian Trail Corridor (NC),,157 ft,-5 ft,8 ft,0
31,,connector-trail,,Stone Mountain State Park,,"3,510 ft",-55 ft,135 ft,0
32,,overmountain-victory,,Lake James State Park,,3 miles,-479 ft,333 ft,0
33,,sunset-trail,,Kanuga Conference & Retreat,,"4,068 ft",-234 ft,42 ft,0
34,,cove-connector,,Latta Nature Preserve,,"1,017 ft",-31 ft,,0
35,,a-t--side-trails--derrick-knob-to-thunderhead-side-trail,,Appalachian Trail Corridor (TN),,131 ft,-18 ft,,0
36,,dutchman-s-creek,,Uwharrie National Forest,,12 miles,"-1,937 ft","2,046 ft",0
37,,mountains-to-sea-trail--nc-segment-4,,Pisgah Ranger District,,17 miles,"-3,835 ft","3,039 ft",0
38,,catawba-connector,,Latta Nature Preserve,,272 ft,,,0
39,,art-loeb,,Pisgah Ranger District,,29 miles,"-7,624 ft","6,566 ft",0
40,,hyatt-ridge-trail,,,,2 miles,,"1,417 ft",0
41,,grassy-gap-fire-road-connector,,Doughton Recreation Area,,226 ft,,9 ft,0
42,,sassafras-creek-tr65,,"Nantahala National Forest, Cheoah Ranger District",,"4,678 ft",,240 ft,0
43,,ike-branch-trail-tr45,,Joyce Kilmer/Slickrock Wilderness,,"2,664 ft",-6 ft,413 ft,0
44,,rough-fork-trail,,,,6 miles,,"2,282 ft",0
45,,highland-trail,,New Hope Overlook,,"3,711 ft",-65 ft,64 ft,0
46,,buffalo-trail,,West Point on the Eno,,"2,241 ft",-40 ft,45 ft,0
47,,bartram-trail--jarrett-bald--tr67,,Central Nantahala National Forest,,5 miles,"-2,531 ft",335 ft,0
48,,pea-creek-loop,,Eno River State Park,,"3,153 ft",-48 ft,56 ft,0
49,,kings-mountain-national-recreational-trail,,Crowders Mountain State Park,,"1,296 ft",-17 ft,,0
50,,laney-cemetery-access,,Great Smoky Mountains National Park - East NC,,392 ft,,58 ft,0
51,,lookout-rock-trail--bmt--tr40,,"Nantahala National Forest, Cheoah Ranger District",,"2,575 ft",-632 ft,,0
52,,a-t--side-trails--beech-gap-to-standing-indian-summit-side-trail,,Appalachian Trail Corridor (NC),,43 ft,,,0
53,,kanati-fork-quiet-walkway,,Great Smoky Mountains National Park - East NC,,960 ft,-48 ft,43 ft,0
54,,lost-cove-trail,,Great Smoky Mountains National Park - West NC,,3 miles,-79 ft,"1,906 ft",0
55,,chunky-gal-trail-us-64-to-boteler-peaks--77,,Hayesville,,3 miles,-69 ft,"1,250 ft",0
56,,spruce-mountain-trail,,Great Smoky Mountains National Park - East NC,,1 mile,-63 ft,699 ft,0
57,,family-camping-trail,,Crowders Mountain State Park,,"2,057 ft",-123 ft,24 ft,0
58,,island-trail,,Great Bend Park,,"1,975 ft",-18 ft,,0
59,,pott-s-branch,,William B. Umstead State Park,,1 mile,-94 ft,100 ft,0
60,,lake-crawford-trail,,Crowders Mountain State Park,,"1,585 ft",-10 ft,13 ft,0
61,,connector,,North Carolina,,568 ft,-3 ft,,0
62,,overmountain-victory-trail,,Linville Gorge Wilderness Area,,3 miles,-183 ft,"1,072 ft",0
63,,cove-connector,,Latta Nature Preserve,,541 ft,,9 ft,0
64,,bog-garden-trail,,Greensboro,,285 ft,-19 ft,,0
65,,middle-falls-lower-falls-trail,,Stone Mountain State Park,,335 ft,,3 ft,0
66,,balsam-mountain-trail,,,,6 miles,-162 ft,574 ft,0
67,,new-oak-lane-connector,,North Carolina,,781 ft,,6 ft,0
68,,streamside-trail,,North Carolina Botanical Garden,,"2,149 ft",-31 ft,30 ft,0
69,,caldwell-fork-trail,,,,6 miles,-62 ft,"1,454 ft",0
70,,hyatt-ridge-trail--bmt-,,,,2 miles,-83 ft,635 ft,0
71,,eno-trace-trail,,Eno River State Park,,1 mile,-20 ft,59 ft,0
72,,ike-branch-trail-tr45,,Joyce Kilmer/Slickrock Wilderness,,1 mile,-632 ft,119 ft,0
73,,smokemont-stables-trail--bmt-,,Great Smoky Mountains National Park - East NC,,"4,619 ft",-42 ft,154 ft,0
74,,poe-s-ridge,,New Hope Overlook,,3 miles,-290 ft,299 ft,0
75,,chunky-gal-trail-tuni-gap-road-to-tusquitee-bald--77,,Central Nantahala National Forest,,3 miles,-189 ft,"2,326 ft",0
76,,bartram-trail--rattlesnake-knob--tr67,,Central Nantahala National Forest,,11 miles,"-2,359 ft","1,667 ft",0
77,,sauratown-trail---section-13,,Pilot Mountain,,2 miles,-215 ft,176 ft,0
78,,a-t--side-trails--cody-gap-water-source-side-trail,,Appalachian Trail Corridor (NC),,102 ft,-13 ft,,0
79,,cooper-creek-trail,,Great Smoky Mountains National Park - West NC,,"3,501 ft",,154 ft,0
80,,noland-divide-trail,,Great Smoky Mountains National Park - West NC,,11 miles,"-4,671 ft",599 ft,0
81,,basin-creek-trail,,Shallow Ford Natural Area,,"3,829 ft",-35 ft,54 ft,0
82,,balsam-mountain-nature-trail,,Great Smoky Mountains National Park - East NC,,"3,353 ft",-74 ft,63 ft,0
83,,shortoff-mountain-trail--235,,Linville Gorge Wilderness Area,,7 miles,-945 ft,"3,068 ft",0
84,,a-t--side-trails--derrick-knob-shelter-water-source-side-trail,,Appalachian Trail Corridor (TN),,203 ft,-34 ft,,0
85,,chestnut-trail,,McDowell Nature Preserve,,"3,150 ft",-118 ft,27 ft,0
86,,townsend-trail,,Greensboro,,797 ft,-16 ft,3 ft,0
87,,a-t--side-trails--muskrat-creek-shelter-privy-side-trail,,Appalachian Trail Corridor (NC),,121 ft,,10 ft,0
88,,brushy-ridge-trail,,Linville Gorge Wilderness Area,,2 miles,-123 ft,950 ft,0
89,,picnic-area-trail,,Holmes Education State Forest,,499 ft,,33 ft,0
90,,a-t--side-trails--stecoah-gap-water-source-side-trail,,Appalachian Trail Corridor (NC),,"1,033 ft",-77 ft,,0
91,,cove-connector,,Latta Nature Preserve,,"1,457 ft",-47 ft,8 ft,0
92,,beech-gap-trail--bmt-,,,,2 miles,-2 ft,"1,901 ft",0
93,,bridle-loop-trail--connector-,,Stone Mountain State Park,,"1,119 ft",,3 ft,0
94,,tatebrook-lane-connector,,North Carolina,,646 ft,,7 ft,0
95,,tanawha-trail,,Grandfather Mountain State Park,,12 miles,"-2,246 ft","1,494 ft",0
96,,hurrah-ridge-tr4,,Franklin,,"2,923 ft",-492 ft,,0
97,,burntrock-ridge-tr65a,,"Nantahala National Forest, Cheoah Ranger District",,2 miles,-457 ft,522 ft,0
98,,ike-branch-trail--bmt--tr45,,Joyce Kilmer/Slickrock Wilderness,,436 ft,-55 ft,,0
99,,lost-cove,,Lost Cove Wilderness Study Area,,7 miles,"-1,222 ft","1,197 ft",0
0,,a-t--side-trails--derrick-knob-shelter-water-source-side-trail,,Appalachian Trail Corridor (TN),,203 ft,-34 ft,,0
1,,middle-falls-lower-falls-trail,,Stone Mountain State Park,,335 ft,,3 ft,0
2,,a-t--side-trails--muskrat-creek-shelter-privy-side-trail,,Appalachian Trail Corridor (NC),,121 ft,,10 ft,0
3,,townsend-trail,,Greensboro,,797 ft,-16 ft,3 ft,0
4,,a-t--side-trails--stecoah-gap-water-source-side-trail,,Appalachian Trail Corridor (NC),,"1,033 ft",-77 ft,,0
5,,picnic-area-trail,,Holmes Education State Forest,,499 ft,,33 ft,0
6,,cove-connector,,Latta Nature Preserve,,"1,457 ft",-47 ft,8 ft,0
7,,tatebrook-lane-connector,,North Carolina,,646 ft,,7 ft,0
8,,beech-gap-trail--bmt-,,,,2 miles,-2 ft,"1,901 ft",0
9,,bartram-trail--rattlesnake-knob--tr67,,Central Nantahala National Forest,,11 miles,"-2,359 ft","1,667 ft",0
10,,burntrock-ridge-tr65a,,"Nantahala National Forest, Cheoah Ranger District",,2 miles,-457 ft,522 ft,0
11,,ike-branch-trail--bmt--tr45,,Joyce Kilmer/Slickrock Wilderness,,436 ft,-55 ft,,0
12,,mary-s-trail,,Blackwood Farm Park,,2 miles,-150 ft,165 ft,0
13,,thomas-divide-trail--bmt-,,Great Smoky Mountains National Park - East NC,,"1,932 ft",,186 ft,0
14,,northern-forest-loop,,Seven Mile Creek Natural Area,,"2,411 ft",-22 ft,36 ft,0
15,,fern-trail,,Crowders Mountain State Park,,"3,209 ft",-36 ft,83 ft,0
16,,a-t--side-trails--a--rufus-morgan-shelter-water-source-2-side-trail,,Appalachian Trail Corridor (NC),,89 ft,-3 ft,,0
17,,mountain-to-sea-trail--nc-segment-9,,Linville Gorge Wilderness Area,,4 miles,"-1,862 ft",474 ft,0
18,,maple-springs-overlook,,"Nantahala National Forest, Cheoah Ranger District",,581 ft,-20 ft,9 ft,0
19,,homestead-trail,,Shallow Ford Natural Area,,1 mile,-107 ft,120 ft,0
20,,unknown-trail-name,,Stone Mountain State Park,,463 ft,,3 ft,0
21,,lakeshore-trail--bmt-,,Great Smoky Mountains National Park - West NC,,5 miles,-928 ft,742 ft,0
22,,hazel-creek-trail-connector,,Great Smoky Mountains National Park - West NC,,"3,950 ft",-21 ft,114 ft,0
23,,lower-noland-monteith-cemetery-access,,Great Smoky Mountains National Park - East NC,,"1,594 ft",-15 ft,267 ft,0
24,,overlook-spur-trail,,Occoneechee Mountain State Natural Area,,131 ft,,,0
25,,jonas-creek-trail,,Great Smoky Mountains National Park - West NC,,4 miles,"-2,084 ft",,0
26,,standing-indian-shelter-trail,,Southern Nantahala National Forest,,189 ft,,24 ft,0
27,,newton-bald-trail--bmt-,,Great Smoky Mountains National Park - West NC,,5 miles,-105 ft,"2,874 ft",0
28,,haw-river-trail,,Great Bend Park,,2 miles,-100 ft,100 ft,0
29,,mckee-branch-trail,,Great Smoky Mountains National Park - East NC,,2 miles,"-1,733 ft",,0
30,,oak-rock-trail,,William B. Umstead State Park,,"3,169 ft",-50 ft,51 ft,0
31,,wintergreen-trail,,Gorges State Park,,1 mile,-203 ft,227 ft,0
32,,bluff-mountain-trail-connector,,Doughton Recreation Area,,341 ft,,21 ft,0
33,,alligator-back-overlook,,Doughton Recreation Area,,328 ft,,9 ft,0
34,,bartram-trail--bruce-knob--tr67,,Franklin,,10 miles,"-1,513 ft","4,469 ft",0
35,,beech-gap-trail--bmt-,,,,3 miles,,"1,822 ft",0
36,,cove,,Latta Nature Preserve,,3 miles,-193 ft,159 ft,0
37,,mountain-to-sea-trail--nc-segment-30-2,,West Point on the Eno,,"1,430 ft",-2 ft,,0
38,,falls-lake--redmill-road---22,,Durham,,5 miles,-119 ft,121 ft,0
39,,appalachian-trail---cable-gap--bmt--whiteblazes,,Appalachian Trail Corridor (NC),,2 miles,-356 ft,310 ft,0
40,,sunkota-ridge-trail--bmt-,,Great Smoky Mountains National Park - East NC,,5 miles,-136 ft,"1,501 ft",0
41,,overlook-loop-trail,,Seven Mile Creek Natural Area,,784 ft,-36 ft,,0
42,,joyce-kilmer-memorial-connector-trail-tr43,,Joyce Kilmer/Slickrock Wilderness,,56 ft,,,0
43,,linville-gorge-trail,,Linville Gorge Wilderness Area,,12 miles,"-2,948 ft","1,382 ft",0
44,,group-camping-trail,,Crowders Mountain State Park,,"1,329 ft",-18 ft,3 ft,0
45,,cash-s-point-trail,,Penny's Bend Nature Preserve,,"2,116 ft",-30 ft,33 ft,0
46,,campsite-a,,New Hope Overlook,,"1,043 ft",-16 ft,,0
47,,balsam-mountain-trail---lower,,,,2 miles,-185 ft,829 ft,0
48,,indian-creek-motor-trail,,Great Smoky Mountains National Park - West NC,,2 miles,-839 ft,,0
49,,hidden-hill-trail,,Shallow Ford Natural Area,,1 mile,-167 ft,176 ft,0
50,,camel-gap-trail,,,,5 miles,-321 ft,"1,991 ft",0
51,,palisades-trail,,Vade Mecum,,"1,972 ft",,34 ft,0
52,,pelican-pool-trail,,Vade Mecum,,"1,739 ft",-74 ft,,0
53,,demonstration-trail,,Holmes Education State Forest,,3 miles,-221 ft,611 ft,0
54,,shady,,Latta Nature Preserve,,2 miles,-59 ft,67 ft,0
55,,bridle-loop-trail--connector-,,Stone Mountain State Park,,725 ft,-6 ft,,0
56,,wetlands-boardwalk,,Haw River State Park,,797 ft,-3 ft,,0
57,,cranksgiving-enduro-trail,,Kanuga Conference & Retreat,,"1,355 ft",-73 ft,7 ft,0
58,,a-t--side-trails--locust-cove-gap-water-source-side-trail,,Appalachian Trail Corridor (NC),,417 ft,-90 ft,,0
59,,north-river-loop-200a,,Mount Mitchell State Park,,2 miles,-86 ft,36 ft,0
60,,a-t--side-trails--brown-fork-gap-shelter-campsite-side-trail,,Appalachian Trail Corridor (NC),,144 ft,-3 ft,,0
61,,west-house-trail,,Greensboro,,"4,521 ft",-14 ft,42 ft,0
62,,buckeye-creek-trail,,Franklin,,2 miles,-932 ft,4 ft,0
63,,fanny-s-ford,,Eno River State Park,,"5,154 ft",-41 ft,41 ft,0
64,,cabin-flats-trail,,,,"5,225 ft",-144 ft,269 ft,0
65,,hangover-lead-alternate-trail-tr56a,,Joyce Kilmer/Slickrock Wilderness,,"1,253 ft",,64 ft,0
66,,falls-lake--possum-track-travels---3,,Wake Forest,,3 miles,-137 ft,124 ft,0
67,,a-t--side-trails--beech-gap-to-standing-indian-summit-side-trail,,Appalachian Trail Corridor (NC),,39 ft,,,0
68,,a-t--side-trails--wayah-crest-parking-area-side-trail,,Appalachian Trail Corridor (NC),,289 ft,,29 ft,0
69,,martins-gap-trail--bmt-,,Great Smoky Mountains National Park - East NC,,2 miles,,936 ft,0
70,,seven-mile-loop-trail,,Seven Mile Creek Natural Area,,1 mile,-66 ft,60 ft,0
71,,a-t--side-trails--wasilik-poplar-vista-side-trail,,Appalachian Trail Corridor (NC),,"3,127 ft",-289 ft,,0
72,,rock-climbers-access,,Hanging Rock State Park,,"2,310 ft",-135 ft,108 ft,0
73,,omphus-ridge--75,,Hayesville,,"4,744 ft",-936 ft,,0
74,,boteler-peak-vista-trail,,Hayesville,,"1,309 ft",-11 ft,180 ft,0
75,,gunter-fork-trail,,,,4 miles,-180 ft,"2,504 ft",0
76,,a-t--side-trails--cable-gap-shelter-privy-side-trail,,Appalachian Trail Corridor (NC),,95 ft,-6 ft,,0
77,,haw-river-trail,,Burlington,,233 ft,-6 ft,,0
78,,forney-creek-trail,,Great Smoky Mountains National Park - West NC,,11 miles,"-3,949 ft",137 ft,0
79,,haw-river-trail,,Burlington,,673 ft,-15 ft,3 ft,0
80,,lake-channel-overlook,,Lake James State Park,,"3,665 ft",-67 ft,71 ft,0
81,,bone-valley-trail,,Great Smoky Mountains National Park - West NC,,2 miles,-64 ft,262 ft,0
82,,woodlawn-fitness-loop--220,,Woods Mountain,,"4,879 ft",-200 ft,100 ft,0
83,,sunset-peak-loop,,Kanuga Conference & Retreat,,243 ft,-3 ft,5 ft,0
84,,bluff-mountain-trail-connector,,Doughton Recreation Area,,135 ft,,,0
85,,picnic-area-trail,,Holmes Education State Forest,,607 ft,,46 ft,0
86,,mountain-to-sea-trail--nc-segment-18,,Stone Mountain State Park,,2 miles,-10 ft,581 ft,0
87,,laurel-bluff-nature,,West Point on the Eno,,748 ft,-37 ft,3 ft,0
88,,haoe-lead-trail--bmt--tr53,,Joyce Kilmer/Slickrock Wilderness,,1 mile,-378 ft,349 ft,0
89,,trail-ridge--520,,Hayesville,,2 miles,-84 ft,"1,950 ft",0
90,,poplar-point-trail,,Crowders Mountain State Park,,"3,688 ft",-105 ft,,0
91,,white-deer-loop,,Triangle,,1 mile,-55 ft,51 ft,0
92,,peggy-cates-bartow-loop-trail,,Hillsborough,,256 ft,,2 ft,0
93,,boulders-overlook,,Crowders Mountain State Park,,259 ft,-22 ft,,0
94,,deep-creek-trail--bmt-,,Great Smoky Mountains National Park - East NC,,"3,652 ft",-72 ft,,0
95,,kanati-fork-trail,,Great Smoky Mountains National Park - West NC,,3 miles,,"2,072 ft",0
96,,flat-creek,,Great Smoky Mountains National Park - East NC,,3 miles,-689 ft,246 ft,0
97,,fork-ridge-trail,,Great Smoky Mountains National Park - West NC,,5 miles,"-2,816 ft",,0
98,,a-t--side-trails--carter-gap-shelter-side-trail,,Appalachian Trail Corridor (NC),,361 ft,,8 ft,0
99,,muir-nature-trail,,San-Lee Park,,"4,403 ft",-94 ft,135 ft,0
0,,bartram-trail--cheoah-bald--tr67,,Nantahala Outdoor Center,,5 miles,-198 ft,"3,145 ft",0
1,,catawba,,Latta Nature Preserve,,1 mile,-55 ft,79 ft,0
2,,blue-trail,,Florence Nature Preserve,,2 miles,-730 ft,35 ft,0
3,,scaly-mountain-tr67a,,Franklin,,1 mile,-281 ft,12 ft,0
4,,middle-falls-alternate-tr64b,,"Nantahala National Forest, Cheoah Ranger District",,787 ft,-37 ft,,0
5,,rim-trail-picnic-area-to-bristol-trail--72,,Hayesville,,3 miles,-310 ft,"1,367 ft",0
6,,a-t--side-trails--sassafras-gap-shelter-privy-side-trail,,Appalachian Trail Corridor (NC),,128 ft,,,0
7,,haw-river-trail,,Burlington,,3 miles,-42 ft,22 ft,0
8,,rufus-morgan-high-rocks,,Kanuga Conference & Retreat,,"4,213 ft",-9 ft,262 ft,0
9,,pawpaw,,Stephens Road Nature Preserve,,"3,556 ft",-91 ft,86 ft,0
10,,bluff-ridge-primitive-trail,,Doughton Recreation Area,,3 miles,-168 ft,"2,328 ft",0
11,,mountain-to-sea-trail--nc-segment-7,,Marion,,1 mile,-20 ft,386 ft,0
12,,connector-trail,,Latta Nature Preserve,,"3,652 ft",-15 ft,35 ft,0
13,,laurel-bluff-trail,,Greensboro,,3 miles,-163 ft,138 ft,0
14,,bridal-spur-trail,,Stone Mountain State Park,,"2,369 ft",-26 ft,48 ft,0
15,,middle-falls-tr64a,,"Nantahala National Forest, Cheoah Ranger District",,"4,990 ft",-192 ft,388 ft,0
16,,rock-climbers-access,,Hanging Rock State Park,,"1,453 ft",,163 ft,0
17,,dairy-farm-trail,,Brumley Nature Preserve,,"2,782 ft",-9 ft,21 ft,0
18,,red-route,,New Hope Overlook,,2 miles,-252 ft,302 ft,0
19,,bynum-bluff-trail,,Linville Gorge Wilderness Area,,"4,147 ft",-18 ft,361 ft,0
20,,a-t--side-trails--sassafras-gap-shelter-side-trail,,Appalachian Trail Corridor (NC),,279 ft,-51 ft,,0
21,,stratton-bald-alternate--bmt--tr54a,,"Nantahala National Forest, Cheoah Ranger District",,2 miles,-51 ft,889 ft,0
22,,ivy-bluffs-trail,,Pilot Mountain State Park Yadkin River Section,,1 mile,-162 ft,24 ft,0
23,,palisades-trail,,Vade Mecum,,453 ft,,,0
24,,ferguson-cabin-trail,,Great Smoky Mountains National Park - East NC,,"2,956 ft",-43 ft,163 ft,0
25,,beechwood-connector,,Latta Nature Preserve,,692 ft,,20 ft,0
26,,campsite-88-access,,Great Smoky Mountains National Park - West NC,,488 ft,,45 ft,0
27,,a-t--side-trails--wilson-lick-trail,,Appalachian Trail Corridor (NC),,719 ft,,72 ft,0
28,,woody-conner-cemetery-trail,,Great Smoky Mountains National Park - East NC,,"1,163 ft",,164 ft,0
29,,great-woodland-adventure-trail,,Chimney Rock State Park,,"1,982 ft",-78 ft,79 ft,0
30,,white-trail,,Florence Nature Preserve,,"2,464 ft",-49 ft,79 ft,0
31,,skinny-dip-falls-trail,,Shining Rock Wilderness,,253 ft,,,0
32,,big-snowbird-trail-tr64,,"Nantahala National Forest, Cheoah Ranger District",,1 mile,,158 ft,0
33,,rim-trail--fires-creek-picnic-area-to-shortoff-knob-gap---72,,Jackrabbit Mountain Bike Trails,,3 miles,-49 ft,"2,022 ft",0
34,,mountain-to-sea-trail--nc-segment-8,,Marion,,"5,059 ft",-460 ft,22 ft,0
35,,peggy-cates-bartow-loop-trail,,Hillsborough,,256 ft,,2 ft,0
36,,boulders-overlook,,Crowders Mountain State Park,,259 ft,-22 ft,,0
37,,deep-creek-trail--bmt-,,Great Smoky Mountains National Park - East NC,,"3,652 ft",-72 ft,,0
38,,kanati-fork-trail,,Great Smoky Mountains National Park - West NC,,3 miles,,"2,072 ft",0
39,,a-t--side-trails--wesser-bald-shelter-privy-side-trail,,Appalachian Trail Corridor (NC),,220 ft,-31 ft,,0
40,,may-view-road-loop,,Moses H. Cone Memorial Park,,"2,169 ft",-32 ft,44 ft,0
41,,a-t--side-trails--brown-fork-gap-shelter-side-trail,,Appalachian Trail Corridor (NC),,518 ft,-51 ft,,0
42,,fodder-stack-trail,,Doughton Recreation Area,,"2,802 ft",-296 ft,137 ft,0
43,,sauratown-trail---section-16,,Pilot Mountain State Park,,"1,352 ft",-54 ft,3 ft,0
44,,appalachian-trail---cable-gap-whiteblazes,,Appalachian Trail Corridor (NC),,6 miles,"-2,205 ft","1,189 ft",0
45,,james-booth-trail,,Hanging Rock State Park,,1 mile,-210 ft,143 ft,0
46,,pilot-creek-trail,,Pilot Mountain State Park,,3 miles,-534 ft,158 ft,0
47,,boone-fork-trail,,Julian Price Memorial Park,,5 miles,-606 ft,632 ft,0
48,,gilead-parking-connector,,North Carolina,,971 ft,,6 ft,0
49,,oak-hickory-loop,,North Carolina Botanical Garden,,"2,917 ft",-110 ft,96 ft,0
50,,beechwood,,Latta Nature Preserve,,564 ft,,28 ft,0
51,,browns-mountain-trail,,Crowders Mountain State Park,,"2,402 ft",-9 ft,147 ft,0
52,,buncombe-horse-range--191,,Mount Mitchell State Park,,17 miles,"-3,254 ft","2,563 ft",0
53,,allen-s-loop,,Blackwood Farm Park,,"4,285 ft",-64 ft,61 ft,0
54,,foothills-trail--laurel-fork-falls--a5,,Gorges State Park,,9 miles,"-1,006 ft","2,261 ft",0
55,,pole-road-creek-trail--bmt-,,Great Smoky Mountains National Park - East NC,,3 miles,"-1,747 ft",,0
56,,martins-gap-trail,,Great Smoky Mountains National Park - West NC,,2 miles,-948 ft,,0
57,,sennett-hole,,West Point on the Eno,,988 ft,-3 ft,6 ft,0
58,,bradley-fork-trail,,Great Smoky Mountains National Park - East NC,,6 miles,,"2,661 ft",0
59,,appalachian-trail---standing-indian---carter-gap,,Appalachian Trail Corridor (NC),,13 miles,"-2,319 ft","2,459 ft",0
60,,hillsborough-riverwalk,,Hillsborough,,4 miles,-176 ft,153 ft,0
61,,appalachian-trail---long-branch-whiteblazes,,Appalachian Trail Corridor (NC),,8 miles,"-1,991 ft","1,216 ft",0
62,,long-hungry-ridge-trail,,Great Smoky Mountains National Park - West NC,,4 miles,-21 ft,"2,245 ft",0
63,,long-branch-trail,,Southern Nantahala National Forest,,2 miles,-21 ft,774 ft,0
64,,a-t--side-trails--wayah-shelter-water-source-side-trail,,Appalachian Trail Corridor (NC),,577 ft,-18 ft,,0
65,,rufus-morgan-loop-tr27,,Central Nantahala National Forest,,"4,708 ft",-263 ft,243 ft,0
66,,herbert-s-loop,,Blackwood Farm Park,,518 ft,-21 ft,,0
67,,graveyard-ridge--356,,Pisgah Ranger District,,1 mile,,192 ft,0
68,,mount-sterling-ridge-trail--bmt-,,,,6 miles,-601 ft,886 ft,0
